"DataHora";"ResultadoInfo";"EquipaCasa";"EquipaFora";"Jogo"
"14-05-2006 13:00:00";"Vitória de OB";"AGF";"OB";"AGF vs OB"
"30-04-2006 13:00:00";"Empate";"Midtjylland";"Esbjerg";"Midtjylland vs Esbjerg"
"29-04-2006 15:00:00";"Vitória de SønderjyskE";"SønderjyskE";"AGF";"SønderjyskE vs AGF"
"26-04-2006 16:00:00";"Empate";"Nordsjælland";"København";"Nordsjælland vs København"
"08-04-2006 15:00:00";"Vitória de Brøndby";"Brøndby";"AaB";"Brøndby vs AaB"
"02-04-2006 13:00:00";"Empate";"Midtjylland";"Horsens";"Midtjylland vs Horsens"
"02-04-2006 13:00:00";"Vitória de Esbjerg";"Esbjerg";"Silkeborg";"Esbjerg vs Silkeborg"
"29-03-2006 17:00:00";"Vitória de Silkeborg";"Silkeborg";"AGF";"Silkeborg vs AGF"
"26-03-2006 13:00:00";"Vitória de Brøndby";"Brøndby";"Silkeborg";"Brøndby vs Silkeborg"
"25-03-2006 16:00:00";"Vitória de Esbjerg";"Esbjerg";"OB";"Esbjerg vs OB"
"19-03-2006 14:00:00";"Vitória de Horsens";"Horsens";"Viborg";"Horsens vs Viborg"
"12-03-2006 14:00:00";"Vitória de OB";"OB";"Nordsjælland";"OB vs Nordsjælland"
"27-11-2005 16:30:00";"Vitória de FC Copenhagen";"AaB";"København";"AaB vs København"
"27-11-2005 14:00:00";"Vitória de Viborg";"Viborg";"Nordsjælland";"Viborg vs Nordsjælland"
"20-11-2005 16:30:00";"Empate";"København";"AGF";"København vs AGF"
"30-10-2005 14:00:00";"Vitória de SønderjyskE";"Silkeborg";"SønderjyskE";"Silkeborg vs SønderjyskE"
"30-10-2005 14:00:00";"Empate";"Horsens";"OB";"Horsens vs OB"
"26-10-2005 18:00:00";"Empate";"Esbjerg";"Brøndby";"Esbjerg vs Brøndby"
"26-10-2005 17:00:00";"Vitória de AaB";"OB";"AaB";"OB vs AaB"
"26-10-2005 17:00:00";"Empate";"AGF";"Viborg";"AGF vs Viborg"
"23-10-2005 15:30:00";"Vitória de Brøndby";"Brøndby";"Midtjylland";"Brøndby vs Midtjylland"
"23-10-2005 13:00:00";"Vitória de Nordsjælland";"Nordsjælland";"SønderjyskE";"Nordsjælland vs SønderjyskE"
"22-10-2005 15:00:00";"Vitória de FC Copenhagen";"København";"Horsens";"København vs Horsens"
"02-10-2005 13:00:00";"Empate";"AaB";"Midtjylland";"AaB vs Midtjylland"
"02-10-2005 13:00:00";"Empate";"Viborg";"SønderjyskE";"Viborg vs SønderjyskE"
